queue_id,target,weekday_share,lag1_autocorr,event_days
Q-CB-CAP-01,volume,0.8528,0.1939,6
Q-CB-CAP-02,volume,0.7726,0.2758,6
Q-CB-CAP-03,volume,0.8231,0.3535,6
Q-CB-CAP-04,volume,0.7711,0.3889,6
Q-CB-CAP-05,volume,0.8228,0.3644,6
Q-CB-DAS-01,volume,0.8339,0.4473,4
Q-CB-DAS-02,volume,0.8232,0.3969,4
Q-CB-DAS-03,volume,0.8315,0.197,4
Q-CB-DAS-04,volume,0.8181,0.2929,4
Q-CB-DAS-05,volume,0.8594,0.2167,4
Q-CB-DFS-01,volume,0.864,0.1973,5
Q-CB-DFS-02,volume,0.8293,0.2662,5
Q-CB-DFS-03,volume,0.8317,0.2788,5
Q-CB-DFS-04,volume,0.8436,0.4269,5
Q-CB-DFS-05,volume,0.8655,0.2684,5
Q-CL-ALS-01,volume,0.9136,0.3129,4
Q-CL-ALS-02,volume,0.8762,0.3912,4
Q-CL-ALS-03,volume,0.9226,0.2333,4
Q-CL-ALS-04,volume,0.8963,0.3955,4
Q-CL-ALS-05,volume,0.8594,0.236,4
Q-CL-MCS-01,volume,0.8961,0.1213,6
Q-CL-MCS-02,volume,0.9147,0.183,6
Q-CL-MCS-03,volume,0.8669,0.3882,6
Q-CL-MCS-04,volume,0.888,0.2343,6
Q-CL-MCS-05,volume,0.9172,0.2173,6
Q-CL-PAH-01,volume,0.8901,0.1266,5
Q-CL-PAH-02,volume,0.8565,0.3362,5
Q-CL-PAH-03,volume,0.8412,0.2115,5
Q-CL-PAH-04,volume,0.8824,0.4185,5
Q-CL-PAH-05,volume,0.8688,0.4254,5
Q-CB-CAP-01,aht,0.0178,0.2943,6
Q-CB-CAP-02,aht,0.057,0.2977,6
Q-CB-CAP-03,aht,0.0285,0.3297,6
Q-CB-CAP-04,aht,0.0868,0.0573,6
Q-CB-CAP-05,aht,0.014,0.3218,6
Q-CB-DAS-01,aht,0.0362,0.2864,4
Q-CB-DAS-02,aht,0.0221,0.4453,4
Q-CB-DAS-03,aht,0.0286,0.4382,4
Q-CB-DAS-04,aht,0.0643,0.1069,4
Q-CB-DAS-05,aht,0.0475,0.3356,4
Q-CB-DFS-01,aht,0.0163,0.3246,5
Q-CB-DFS-02,aht,0.0167,0.2964,5
Q-CB-DFS-03,aht,0.0605,0.0566,5
Q-CB-DFS-04,aht,0.0345,0.4349,5
Q-CB-DFS-05,aht,0.0825,0.2509,5
Q-CL-ALS-01,aht,0.0915,0.2978,4
Q-CL-ALS-02,aht,0.039,0.2395,4
Q-CL-ALS-03,aht,0.0433,0.3834,4
Q-CL-ALS-04,aht,0.0522,0.273,4
Q-CL-ALS-05,aht,0.0403,0.1427,4
Q-CL-MCS-01,aht,0.011,0.2322,6
Q-CL-MCS-02,aht,0.0443,0.2518,6
Q-CL-MCS-03,aht,0.0673,0.2206,6
Q-CL-MCS-04,aht,0.0329,0.2183,6
Q-CL-MCS-05,aht,0.067,0.1422,6
Q-CL-PAH-01,aht,0.0478,0.1698,5
Q-CL-PAH-02,aht,0.0276,0.2472,5
Q-CL-PAH-03,aht,0.1115,0.3405,5
Q-CL-PAH-04,aht,0.0277,0.4117,5
Q-CL-PAH-05,aht,0.068,0.3366,5
